id,created_at,user_id,text,lang,coordinates_type,coordinates_lat,coordinates_lon,place_id,place_name,place_country_code,retweet_count,favorite_count,_search_string,_search_loc_lat,_search_loc_lon,_search_loc_range,label,sentiment_classifier_score
1098272527707787266,Wed Feb 20 17:25:50 +0000 2019,36741432,Hi ha una porta espatllada a l'estació Liceu sortida Gran Teatre direcció Sants. Molta gent entra sense pagar. Ho p… https://t.co/PyjvEPNKJn,ca,None,None,None,1a27537478dd8e38,None,ES,2,0,@TMBinfo,41.397791,2.135427,1,NEG,0.267
1098210008809046016,Wed Feb 20 13:17:24 +0000 2019,113868118,@ramon_vega @mikel_bcn @ramonpuig65 @TMBinfo @TMB_Barcelona Ja em topat amb el sindicat autobusero.,ca,None,None,None,1a27537478dd8e38,None,ES,0,0,@TMBinfo,41.397791,2.135427,1,NEG,0.242
1098194823843139589,Wed Feb 20 12:17:04 +0000 2019,113868118,@ramon_vega @mikel_bcn @ramonpuig65 @TMBinfo @TMB_Barcelona 😂😂😂😂😂😂😂😂😂😂,und,None,None,None,1a27537478dd8e38,None,ES,0,0,@TMBinfo,41.397791,2.135427,1,NEG,0.134
1098186587886837762,Wed Feb 20 11:44:20 +0000 2019,449289006,@TMBinfo per què avui a clot a la vermella fa tanta pudor com a cremat? A les 7:30am ja olorava i ara encara! 😷,ca,None,None,None,1a27537478dd8e38,None,ES,0,0,@TMBinfo,41.397791,2.135427,1,NEG,0.353
1098142413682556929,Wed Feb 20 08:48:48 +0000 2019,113868118,@BiciHater @mikel_bcn @TMBinfo @TMB_Barcelona 😂No es conya. El problema es que hauràs de demostrar que ell es culpa… https://t.co/pQeB8GU2Hk,ca,None,None,None,1a27537478dd8e38,None,ES,0,2,@TMBinfo,41.397791,2.135427,1,NEG,0.112
1098139398321905664,Wed Feb 20 08:36:49 +0000 2019,113868118,@ramon_vega @mikel_bcn @ramonpuig65 @TMBinfo Tens sort si @TMB_Barcelona no et denuncia a tú i monta tota una pelíc… https://t.co/5f6VjkMNJP,ca,None,None,None,1a27537478dd8e38,None,ES,0,1,@TMBinfo,41.397791,2.135427,1,NEG,0.042
1098138753066037248,Wed Feb 20 08:34:15 +0000 2019,113868118,"@mikel_bcn @TMBinfo Per fiiii algú que a tingut problemes amb #busbcn,  @TMB_Barcelona cuidado perquè sortiras perj… https://t.co/PSKVNkvMHK",ca,None,None,None,1a27537478dd8e38,None,ES,0,2,@TMBinfo,41.397791,2.135427,1,NEG,0.022
1098136860684099584,Wed Feb 20 08:26:44 +0000 2019,973618691903500288,@garnetblue1899 @mikel_bcn @ramonpuig65 @TMBinfo De hecho el otro día le hice una foto. https://t.co/wq2OynY9HX,es,None,None,None,1a27537478dd8e38,None,ES,0,4,@TMBinfo,41.397791,2.135427,1,NEG,0.124
1098133912088465408,Wed Feb 20 08:15:01 +0000 2019,973618691903500288,"@mikel_bcn @TMBinfo ¡Que estaba trabajando! No como tú, que ibas de turismo sexual",es,None,None,None,1a27537478dd8e38,None,ES,0,3,@TMBinfo,41.397791,2.135427,1,NEG,0.095
1098133885211287552,Wed Feb 20 08:14:55 +0000 2019,615364398,"@PostCarCity1 @mikel_bcn @BiciStCugat @TMBinfo Sin dudarlo señor . Lo que no reciben los ciclistas , nosotros si la… https://t.co/0fA8BevuGa",es,None,None,None,1a27537478dd8e38,None,ES,0,3,@TMBinfo,41.397791,2.135427,1,NEG,0.055
1098133472336592896,Wed Feb 20 08:13:16 +0000 2019,615364398,@mikel_bcn @TMBinfo Cuanta prisa llevas no? Y respetar el código de circulación básico de ceder paso a los que vienen por tu derecha ?,es,None,None,None,1a27537478dd8e38,None,ES,1,5,@TMBinfo,41.397791,2.135427,1,NEG,0.044
1098124644635365376,Wed Feb 20 07:38:12 +0000 2019,128291422,"Buenos días @TMBinfo mañana hay convocada huelga general?? Saben algo, pueden dar algún tipo de información?? Gracias",es,None,None,None,1a27537478dd8e38,None,ES,0,0,@TMBinfo,41.397791,2.135427,1,NEG,0.05
1098122358173376512,Wed Feb 20 07:29:06 +0000 2019,416218697,@TMBinfo Gràcies!,ca,None,None,None,1a27537478dd8e38,None,ES,0,0,@TMBinfo,41.397791,2.135427,1,POS,0.992
1098118760723083264,Wed Feb 20 07:14:49 +0000 2019,416218697,"@TMBinfo #L3 #metrobcn Aturat, ens informeu?",ca,None,None,None,1a27537478dd8e38,None,ES,0,0,@TMBinfo,41.397791,2.135427,1,POS,0.541
1098115559579938817,Wed Feb 20 07:02:06 +0000 2019,15353617,@TMBinfo Doncs a av.Roma hi haparades de vus innexistents. Suposo que antigues. I línies com el 66 que segueix esta… https://t.co/eFVAwIrfJn,ca,None,None,None,1a27537478dd8e38,None,ES,0,0,@TMBinfo,41.397791,2.135427,1,NEG,0.049
